num_nodes,trial 0,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,trial 11,trial 12,trial 13,trial 14,trial 15,trial 16,trial 17,trial 18,trial 19,trial 20,trial 21,trial 22,trial 23,trial 24,trial 25,trial 26,trial 27,trial 28,trial 29,trial 30,trial 31,trial 32,trial 33,trial 34,trial 35,trial 36,trial 37,trial 38,trial 39,trial 40,trial 41,trial 42,trial 43,trial 44,trial 45,trial 46,trial 47,trial 48,trial 49,trial 50,trial 51,trial 52,trial 53,trial 54,trial 55,trial 56,trial 57,trial 58,trial 59,trial 60,trial 61,trial 62,trial 63,trial 64,trial 65,trial 66,trial 67,trial 68,trial 69,trial 70,trial 71,trial 72,trial 73,trial 74,trial 75,trial 76,trial 77,trial 78,trial 79,trial 80,trial 81,trial 82,trial 83,trial 84,trial 85,trial 86,trial 87,trial 88,trial 89,trial 90,trial 91,trial 92,trial 93,trial 94,trial 95,trial 96,trial 97,trial 98,trial 99
20,0.286688,0.034007,0.033418,0.032223,0.032759,0.034265,0.035827,0.033174,0.03308,0.034336,0.033418,0.034296,0.0338,0.032584,0.034639,0.035118,0.034429,0.032848,0.034924,0.034571,0.033465,0.03168,0.033521,0.032978,0.034838,0.033061,0.033925,0.03337,0.034581,0.034814,0.034654,0.034487,0.032681,0.034796,0.033966,0.03354,0.036272,0.034067,0.035063,0.034521,0.034334,0.033184,0.03517,0.035659,0.034591,0.034465,0.034431,0.03422,0.033984,0.03359,0.034418,0.034449,0.033048,0.032489,0.034648,0.034328,0.032738,0.034725,0.033757,0.034198,0.033789,0.034687,0.03285,0.033156,0.034829,0.034317,0.033603,0.03449,0.034035,0.033887,0.034331,0.033511,0.035234,0.033264,0.034776,0.03433,0.034084,0.034731,0.033107,0.03331,0.033592,0.035247,0.03334,0.035133,0.033112,0.035053,0.03423,0.034567,0.034286,0.033141,0.03493,0.032734,0.034469,0.034246,0.032312,0.03472,0.034427,0.034524,0.032017,0.03496
30,0.05838,0.048481,0.046689,0.047924,0.05068,0.047415,0.048892,0.047259,0.045007,0.047417,0.048055,0.048882,0.046242,0.047244,0.047971,0.048601,0.048048,0.046335,0.048134,0.04516,0.048659,0.050598,0.048648,0.048741,0.04966,0.048131,0.045623,0.046703,0.047395,0.048244,0.047871,0.048583,0.048974,0.050927,0.049507,0.047997,0.04934,0.047833,0.046313,0.046344,0.047469,0.046208,0.047455,0.046855,0.049284,0.050459,0.047847,0.04564,0.049481,0.045428,0.049785,0.047245,0.047921,0.047679,0.047395,0.047139,0.049939,0.047487,0.04537,0.048342,0.049652,0.049516,0.047793,0.047134,0.045677,0.047895,0.047335,0.048068,0.04685,0.047731,0.048424,0.047255,0.046901,0.048161,0.050044,0.049048,0.050361,0.047752,0.048337,0.047546,0.047309,0.048838,0.046654,0.047035,0.048404,0.049473,0.047486,0.047677,0.046674,0.049114,0.047858,0.049097,0.048255,0.047252,0.047322,0.046353,0.049244,0.048803,0.048029,0.049166
40,0.069476,0.062605,0.057845,0.06027,0.060937,0.059667,0.058574,0.060046,0.060865,0.062641,0.060666,0.061545,0.060879,0.059886,0.057969,0.060482,0.060601,0.061576,0.060038,0.060441,0.059534,0.060407,0.059951,0.059601,0.060351,0.061101,0.060989,0.060033,0.060779,0.061117,0.061364,0.05957,0.059898,0.059166,0.058536,0.061828,0.060733,0.0611,0.061153,0.060595,0.060257,0.061732,0.058588,0.059886,0.060439,0.059509,0.058668,0.059479,0.060767,0.059124,0.060525,0.060575,0.060924,0.061747,0.060315,0.063201,0.062383,0.062209,0.05888,0.060989,0.062242,0.059934,0.062479,0.058918,0.060427,0.060999,0.060783,0.06057,0.059705,0.060641,0.058818,0.058831,0.059413,0.060069,0.062014,0.061046,0.063684,0.061713,0.059007,0.057999,0.058115,0.059131,0.061822,0.056821,0.059323,0.059948,0.059539,0.061551,0.060953,0.060505,0.061285,0.058314,0.059223,0.06194,0.061187,0.056855,0.057928,0.059274,0.059508,0.061926
50,0.127978,0.115719,0.116589,0.11889,0.116229,0.116428,0.118415,0.114172,0.117269,0.116297,0.116236,0.117405,0.118826,0.115279,0.117107,0.119059,0.116508,0.117821,0.116753,0.116308,0.114192,0.122193,0.115855,0.11735,0.116499,0.115629,0.115371,0.113869,0.11548,0.114901,0.119576,0.113364,0.119995,0.116794,0.116583,0.118454,0.116822,0.121547,0.115619,0.118099,0.116365,0.119508,0.121289,0.11803,0.113951,0.118682,0.115784,0.116108,0.115025,0.116972,0.116756,0.116992,0.117309,0.12108,0.118321,0.116239,0.114235,0.114595,0.116336,0.118317,0.114917,0.116169,0.114403,0.117157,0.118987,0.116534,0.116956,0.116505,0.115077,0.115951,0.117484,0.114607,0.11539,0.119471,0.117749,0.114792,0.116044,0.116741,0.115636,0.119778,0.115434,0.117912,0.113845,0.116458,0.112696,0.117426,0.116972,0.114842,0.116044,0.112747,0.11869,0.114127,0.115143,0.117022,0.116021,0.114298,0.117563,0.118052,0.117605,0.117843
60,0.144986,0.133845,0.135975,0.13365,0.133442,0.13588,0.136793,0.133138,0.135116,0.133757,0.137482,0.133969,0.134481,0.136361,0.134218,0.14033,0.131356,0.131619,0.132034,0.136867,0.133067,0.132287,0.140317,0.130426,0.135252,0.133315,0.128976,0.134693,0.132241,0.131602,0.131486,0.136218,0.136392,0.130605,0.136111,0.13333,0.137812,0.138241,0.133993,0.136436,0.135885,0.134043,0.132624,0.134314,0.133875,0.130918,0.133289,0.13506,0.135611,0.13509,0.130919,0.136353,0.133796,0.131763,0.132135,0.129729,0.137723,0.135236,0.1321,0.135126,0.14154,0.139179,0.134717,0.137479,0.128483,0.132658,0.133154,0.132635,0.131279,0.133451,0.131842,0.132703,0.134133,0.134485,0.13354,0.131828,0.139331,0.133347,0.133401,0.136724,0.132354,0.138287,0.138996,0.133319,0.13104,0.130544,0.137843,0.136442,0.1328,0.141393,0.134832,0.133807,0.137,0.133931,0.140286,0.132251,0.139041,0.136621,0.135528,0.132917
70,0.175611,0.162234,0.161972,0.168144,0.163989,0.159005,0.162486,0.165955,0.162731,0.16083,0.157698,0.158142,0.157553,0.160218,0.159992,0.16369,0.163031,0.164836,0.164836,0.160523,0.166249,0.16509,0.159036,0.163052,0.159497,0.165886,0.157661,0.162076,0.161697,0.165625,0.159173,0.162926,0.157138,0.162124,0.162017,0.163774,0.161165,0.162162,0.159317,0.163492,0.163542,0.162907,0.163702,0.165788,0.161394,0.164899,0.15861,0.158699,0.160381,0.158406,0.160739,0.162906,0.161259,0.16145,0.162806,0.159944,0.159318,0.162264,0.159344,0.166716,0.165822,0.163518,0.165535,0.162038,0.158764,0.162442,0.162664,0.166888,0.158705,0.1612,0.162534,0.158218,0.163105,0.162313,0.158203,0.163809,0.159602,0.15974,0.161251,0.16272,0.156858,0.159777,0.160965,0.162402,0.158716,0.16124,0.162868,0.161881,0.166373,0.162987,0.162185,0.159098,0.163312,0.164227,0.166003,0.165104,0.162653,0.170109,0.164546,0.164122
80,0.21344,0.182212,0.182512,0.182424,0.182868,0.182943,0.181137,0.182311,0.179317,0.179095,0.181461,0.187606,0.177027,0.179279,0.182605,0.189669,0.188702,0.181264,0.188067,0.183712,0.187191,0.183237,0.183983,0.181157,0.182232,0.17987,0.182874,0.185649,0.182914,0.182426,0.181818,0.175308,0.1819,0.186716,0.179723,0.183382,0.184601,0.176274,0.182422,0.183802,0.180626,0.181005,0.183149,0.183919,0.182401,0.181955,0.181245,0.179032,0.182051,0.181073,0.175846,0.182626,0.187242,0.188637,0.187626,0.180161,0.18461,0.18648,0.179891,0.184137,0.179105,0.183753,0.18194,0.18052,0.18016,0.180901,0.183377,0.180693,0.188497,0.179994,0.186187,0.181562,0.177319,0.181853,0.182307,0.18579,0.179011,0.181404,0.17531,0.178518,0.176653,0.180041,0.18418,0.180144,0.179407,0.179403,0.184305,0.178214,0.176352,0.177706,0.183571,0.183533,0.179554,0.17754,0.180849,0.179163,0.176055,0.185945,0.176806,0.180815
90,0.19828,0.176174,0.179843,0.18801,0.182386,0.180605,0.181357,0.17836,0.180445,0.178962,0.177145,0.177761,0.182667,0.179221,0.189141,0.181566,0.183864,0.178783,0.183121,0.185282,0.183312,0.178626,0.177085,0.183097,0.183318,0.181349,0.177216,0.173801,0.178071,0.179802,0.183045,0.182282,0.177371,0.18337,0.177352,0.182138,0.182666,0.177652,0.180289,0.17924,0.18004,0.178038,0.183243,0.18448,0.18357,0.181567,0.179833,0.178903,0.182728,0.181663,0.180085,0.182728,0.177027,0.183414,0.183437,0.186229,0.182099,0.178972,0.183596,0.180885,0.188506,0.180781,0.183958,0.185264,0.179964,0.1837,0.179194,0.184185,0.181184,0.182091,0.181257,0.18029,0.18393,0.180588,0.179957,0.177845,0.176993,0.179589,0.175862,0.178514,0.183357,0.180596,0.182644,0.184839,0.180735,0.184873,0.187716,0.181133,0.179195,0.183877,0.181666,0.179391,0.176907,0.182348,0.183442,0.180807,0.18319,0.181257,0.183961,0.180977
100,0.233553,0.218733,0.216802,0.215864,0.21359,0.211485,0.213154,0.21228,0.21366,0.221313,0.222339,0.21737,0.206736,0.216517,0.221066,0.214316,0.218994,0.214085,0.219069,0.217368,0.21556,0.219054,0.211052,0.213075,0.222354,0.210683,0.209682,0.217699,0.21593,0.212129,0.21669,0.219782,0.216423,0.211013,0.212116,0.212884,0.208817,0.213944,0.214442,0.214784,0.220868,0.209484,0.215759,0.219228,0.213821,0.206682,0.221015,0.209204,0.221329,0.216128,0.223466,0.214745,0.220244,0.221423,0.212397,0.209143,0.2096,0.211201,0.208469,0.215334,0.217991,0.212234,0.218746,0.219895,0.214903,0.216484,0.212015,0.209711,0.21179,0.215167,0.213366,0.212488,0.216124,0.214576,0.219712,0.21512,0.214221,0.214602,0.209375,0.213973,0.220545,0.217022,0.21359,0.210383,0.217718,0.213106,0.220751,0.21571,0.221832,0.218904,0.21365,0.215432,0.21544,0.216922,0.222096,0.212356,0.212249,0.216207,0.213035,0.220354
800,2.118354,2.164294,2.149496,2.143606,2.092951,2.104291,2.174042,2.09536,2.148169,2.150337,2.148712,2.116249,2.087893,2.146756,2.124317,2.136972,2.1131,2.152987,2.173565,2.132644,2.112307,2.159514,2.106344,2.125251,2.157356,2.124086,2.157093,2.119896,2.111579,2.122782,2.0922,2.121848,2.153134,2.119147,2.109115,2.081677,2.115691,2.155726,2.173872,2.13299,2.161652,2.107064,2.133598,2.119495,2.140378,2.118517,2.089538,2.106799,2.090752,2.137622,2.144188,2.116918,2.108329,2.117111,2.124638,2.143602,2.121864,2.152501,2.106659,2.11991,2.126362,2.125398,2.124472,2.121751,2.116357,2.110696,2.159947,2.084391,2.087155,2.121721,2.113709,2.163424,2.071039,2.154388,2.135323,2.113341,2.116167,2.199932,2.096492,2.124545,2.121053,2.12684,2.147705,2.124642,2.130236,2.098314,2.12982,2.142894,2.152827,2.136287,2.107385,2.150746,2.039458,2.143505,2.113786,2.111776,2.119111,2.132479,2.099736,2.170358
5000,22.657992,22.87504,22.738638,22.859887,22.813244,22.761871,22.751853,22.746404,22.822509,22.711673,22.757995,22.943739,22.761702,22.649579,22.75809,22.730623,22.714976,22.547237,22.797011,22.888589,22.808921,22.724106,22.707632,22.821169,22.844788,22.890572,22.728999,22.625347,22.933233,22.733576,22.768797,22.723228,22.811326,22.745163,22.89553,22.885516,22.791783,22.810319,22.810612,22.840992,22.758125,22.640216,22.739456,22.899241,22.790588,22.69019,22.834996,22.708472,22.905958,22.769752,22.678262,22.72943,22.857142,22.85874,22.61914,22.716918,22.753316,22.823394,22.715954,22.722024,22.689326,22.830349,22.715734,22.797281,22.85524,22.675345,23.011163,22.592414,22.842726,22.853765,22.913868,22.758692,22.921737,22.703854,22.781543,22.716403,22.915333,22.735493,22.745356,22.930551,22.847193,22.97806,22.760593,22.746789,22.997918,22.776689,22.796849,22.906328,22.84199,23.068193,22.763494,22.693391,22.78317,22.950038,22.838789,22.758583,22.79263,22.877508,22.818276,22.839805
8000,34.90297,34.938418,34.975119,34.873316,34.944208,34.857613,35.108053,34.881926,35.024463,34.948105,34.770645,34.967764,34.928536,34.963365,35.027802,34.842781,35.023253,34.850197,34.762427,34.945689,35.152057,34.95017,34.902427,34.939371,35.034025,34.860508,35.082175,34.867992,34.986954,34.965908,34.774529,35.174181,34.808512,34.810154,34.965119,34.928137,35.065227,35.139026,35.038251,34.946416,34.914085,34.885682,34.815513,35.054455,35.018858,35.053182,34.925506,34.899129,34.949288,34.95313,34.920318,34.841846,34.93052,35.080591,35.128832,35.067987,34.834064,34.841168,35.01805,34.896902,35.133809,34.879915,34.948137,35.098422,34.983453,35.021528,35.079232,34.997933,34.985748,35.070669,34.991972,34.983458,34.867711,35.16136,35.009644,35.027467,35.033025,34.998036,35.017485,35.000196,34.766534,34.928698,35.106476,35.093354,34.962083,34.87401,35.008729,34.89867,34.909784,35.046005,35.027983,35.209093,34.765958,34.912503,35.219728,35.072301,34.819571,34.957524,34.935341,35.006846
10000,43.264587,43.492551,43.54744,43.430105,43.195672,43.303889,43.413292,43.384356,43.459914,43.233067,43.228506,43.398669,43.392817,43.487025,43.302483,43.290004,43.385879,43.365745,43.415335,43.392256,43.242411,43.21734,43.379638,43.51826,43.240385,43.253311,43.289537,43.308381,43.50091,43.330178,43.300737,43.186595,43.295426,43.260337,43.571865,43.190898,43.245279,43.436857,43.275473,43.415038,43.250991,43.362197,43.340556,43.306101,43.622766,43.418511,43.297443,43.189566,43.516446,43.301319,43.474588,43.440397,43.456122,43.483326,43.50859,43.303792,43.351505,43.456063,43.433917,43.295751,43.555236,43.314215,43.210284,43.424687,43.430021,43.212962,43.29123,43.244056,43.241526,43.57105,43.437842,43.251159,43.439337,43.269019,43.477065,43.252542,43.622317,43.444668,43.456833,43.428115,43.460196,43.256125,43.310116,43.675326,43.385007,43.35953,43.403443,43.373121,43.506133,43.431706,43.301506,43.2937,43.331224,43.398966,43.305365,43.653597,43.461468,43.644212,43.346734,43.304035
30000,194.889796,195.079418,194.893205,195.016896,194.725533,194.975807,194.33631,194.536076,194.719162,194.790847,194.975676,194.680129,194.560719,194.900391,194.929739,194.94053,194.925195,194.383362,194.81116,194.728846,194.445033,194.514919,194.542607,194.36796,194.897446,194.970489,195.027056,195.070933,195.000658,194.674137,194.77825,194.798515,194.686953,194.998938,194.934119,194.135454,194.858859,194.823169,194.770398,194.315892,194.602912,194.810436,194.963678,194.775006,194.639781,194.563801,194.701373,194.896853,194.467721,194.478476,194.684096,194.693536,195.086307,194.621075,194.632918,194.674931,194.963532,194.423376,194.319239,194.382486,194.688405,194.75773,194.644551,194.699205,195.09105,194.647316,194.616069,194.749166,194.756275,194.326197,194.495222,194.682326,194.656212,194.477464,194.485411,194.581613,194.729978,194.692296,194.640829,194.485474,194.705892,194.687211,194.4387,194.554211,194.845401,194.791094,194.530851,194.735983,194.563725,194.707903,194.466299,194.835805,194.644352,194.570768,194.496346,194.149539,194.808773,194.617438,194.738798,194.558289
